id,date_listed,community,zone,lat,lon,property_category,property_type,bedrooms,area_sqft,area_m2,view,furnishing,chiller_included,parking_spaces,metro_station,metro_line,metro_distance_min,to_burj_khalifa_km,contract_type,n_cheques,annual_rent_usd,rent_per_sqft_usd,rent_per_m2_usd
R023547,2021-07-31,Bur Dubai,Bur Dubai,25.26978,55.29933,apartment,1BR,1,730,67.8,sea,semi_furnished,False,2,Al Ghubaiba,Green,3,8.45,yearly,2,12800,17,189
R012088,2022-10-24,Dubai South,Dubai South,24.9094,55.17261,apartment,2BR,2,1343,124.8,pool,semi_furnished,True,1,Expo 2020,Red,63,33.6,yearly,4,12400,9,100
R003660,2026-04-25,Jumeirah Beach Residence,Dubai Marina,25.08772,55.11568,apartment,3BR,3,1968,182.8,community,fully_furnished,False,1,Sharaf DG,Red,81,20.09,yearly,2,80700,41,441
R017077,2023-08-09,Jumeirah 2,Jumeirah,25.2239,55.24356,apartment,studio,0,540,50.2,community,unfurnished,False,2,World Trade Centre,Red,52,4.29,yearly,2,20900,38,417
R003842,2022-07-21,Tilal Al Ghaf,Tilal Al Ghaf,25.02835,55.26302,villa,5BR_villa,5,4044,375.7,park,fully_furnished,True,2,Salah Al Din,Red,359,18.81,yearly,2,136800,33,364
R008632,2025-10-02,The Springs,Emirates Living,25.03897,55.18351,villa,5BR_villa,5,5596,519.9,park,unfurnished,False,4,Jumeirah Golf Estates,Red,35,19.83,short_term,2,217100,38,418
R018255,2022-06-17,Jumeirah Park,Emirates Living,25.05282,55.17632,villa,5BR_villa,5,5806,539.4,burj_khalifa,fully_furnished,False,3,UAE Pavilion,Red,61,18.85,yearly,1,350900,60,651
R017902,2024-12-25,World Islands,World Islands,25.21731,55.1603,villa,3BR_villa,3,2428,225.5,marina,semi_furnished,False,4,Emirates Towers,Red,149,11.69,yearly,4,247500,102,1097
R000424,2024-10-30,Sobha Hartland,MBR City,25.19117,55.29312,apartment,2BR,2,1197,111.2,park,fully_furnished,False,1,Emirates Towers,Red,51,2.0,yearly,12,59100,49,531
R019527,2021-01-19,Dubai Silicon Oasis,Dubai Silicon Oasis,25.11721,55.38042,apartment,2BR,2,906,84.2,community,fully_furnished,True,1,Danube,Red,347,13.89,yearly,2,8300,9,98
R014437,2022-07-25,Al Warqa,Al Warqa,25.18234,55.40625,villa,3BR_villa,3,1863,173.1,sea,fully_furnished,False,4,Palm Deira,Green,150,13.37,yearly,1,46600,25,269
R022491,2024-09-11,Dubai Islands,Deira Islands,25.2834,55.29814,apartment,3BR,3,2193,203.7,sea,fully_furnished,False,2,Financial Centre,Red,111,9.88,short_term,2,115400,52,566
R011966,2024-02-01,Al Qusais,Al Qusais,25.28356,55.36964,apartment,1BR,1,712,66.1,burj_khalifa,unfurnished,True,2,Al Nahda,Red,11,13.56,yearly,2,13100,18,198
R003016,2024-12-12,Azizi Riviera,MBR City,25.18259,55.27781,apartment,studio,0,476,44.3,community,unfurnished,True,1,Palm Deira,Green,119,1.66,yearly,6,14000,29,315
R019978,2023-10-21,Jumeirah Islands,Emirates Living,25.05468,55.18348,villa,4BR_villa,4,4425,411.1,park,fully_furnished,False,2,Danube,Red,67,18.3,yearly,1,230400,52,560
R021248,2021-09-09,Sustainable City,Sustainable City,24.97222,55.25909,villa,3BR_villa,3,2749,255.4,park,fully_furnished,False,2,Jumeirah Golf Estates,Red,152,25.06,yearly,2,61500,22,241
R020004,2022-02-25,Dubai Harbour,Dubai Marina,25.08958,55.15861,apartment,1BR,1,639,59.3,community,unfurnished,False,1,Mashreq Bank,Red,33,16.71,short_term,4,35500,55,598
R012249,2025-05-09,Liwan,Dubailand,25.0725,55.28825,apartment,1BR,1,604,56.1,community,fully_furnished,True,1,Ibn Battuta,Red,250,13.94,yearly,2,11000,18,196
R020563,2023-11-25,Jumeirah 3,Jumeirah,25.20419,55.21831,apartment,1BR,1,741,68.8,community,semi_furnished,True,2,Palm Deira,Green,101,5.7,yearly,12,49000,66,712
R024745,2022-05-23,Falcon City of Wonders,Dubailand,25.02598,55.30148,apartment,1BR,1,795,73.9,burj_khalifa,unfurnished,False,1,UAE Pavilion,Red,220,19.23,yearly,1,17300,21,235
R024490,2021-07-26,The Valley,Dubai-Al Ain Road,24.9514,55.47202,villa,3BR_villa,3,3288,305.5,community,semi_furnished,True,3,Emirates Towers,Red,422,33.81,yearly,1,44900,13,147
R023337,2023-03-03,Mohammed Bin Rashid City,Mohammed Bin Rashid,25.15769,55.2952,apartment,4BR_penthouse,4,3779,351.1,burj_khalifa,unfurnished,False,2,Abu Baker Al Siddique (G),Green,160,4.87,yearly,2,227800,60,649
R021849,2026-02-25,Mira,Reem,25.04211,55.26858,villa,3BR_villa,3,2775,257.8,marina,unfurnished,False,2,Salah Al Din (G),Green,324,17.25,yearly,12,78900,28,306
R007373,2024-07-16,Dubai Sports City,Dubai Sports City,25.04391,55.22688,apartment,2BR,2,931,86.4,burj_khalifa,semi_furnished,False,2,UAE Pavilion,Red,114,17.7,short_term,2,19600,21,227
R023237,2022-02-09,Dubai Investment Park,DIP,24.98447,55.19492,apartment,1BR,1,666,61.9,marina,fully_furnished,True,3,Danube,Red,76,24.97,yearly,1,7000,10,113
R020358,2024-01-09,Dubai Festival City,Festival City,25.21458,55.36199,apartment,studio,0,443,41.2,golf_course,semi_furnished,False,2,Creek,Green,6,9.02,yearly,4,19100,43,465
R004514,2025-07-16,Bur Dubai,Bur Dubai,25.25432,55.31229,apartment,2BR,2,944,87.7,community,semi_furnished,True,2,Al Ghubaiba,Green,4,7.41,yearly,4,13400,14,152
R006909,2023-02-09,World Islands,World Islands,25.22595,55.146,apartment,3BR,3,1508,140.1,community,fully_furnished,True,1,Dubai Airport Free Zone,Green,256,13.31,yearly,1,87700,58,626
R008907,2021-05-02,Dubai Silicon Oasis,Dubai Silicon Oasis,25.11187,55.38193,apartment,studio,0,537,49.9,burj_khalifa,fully_furnished,True,1,Salah Al Din (G),Green,231,14.39,yearly,1,7300,13,147
R004030,2022-03-07,Mirdif,Mirdif,25.20872,55.42743,villa,4BR_villa,4,3666,340.5,community,semi_furnished,True,3,Union,Red,145,15.45,short_term,2,49300,13,145
R019678,2022-06-11,Maritime City,Maritime City,25.26853,55.25733,apartment,1BR,1,769,71.4,sea,fully_furnished,True,2,Oud Metha,Green,82,8.12,yearly,4,27900,36,391
R013773,2026-03-23,Business Bay,Business Bay,25.19773,55.26431,apartment,studio,0,438,40.7,community,fully_furnished,False,1,Business Bay,Red,2,1.02,yearly,4,22400,51,551
R010287,2026-03-11,Bur Dubai,Bur Dubai,25.26073,55.27925,apartment,studio,0,300,27.9,community,fully_furnished,False,1,Al Ghubaiba,Green,6,7.08,yearly,4,6700,22,241
R022764,2025-03-08,The Meadows,Emirates Living,25.04903,55.14025,villa,5BR_villa,5,7426,689.9,city,semi_furnished,True,3,Ibn Battuta,Red,71,21.3,yearly,6,369700,49,536
R010646,2024-03-04,The Greens,The Greens,25.09255,55.19364,apartment,4BR_penthouse,4,2754,255.9,community,fully_furnished,False,2,Dubai Internet City,Red,1,14.19,yearly,6,107000,38,418
R018495,2024-03-02,Reem Mira,Reem,25.04143,55.25577,villa,5BR_villa,5,5180,481.3,marina,fully_furnished,False,3,Jebel Ali,Red,177,17.42,yearly,4,158200,30,329
R020492,2021-04-30,Umm Suqeim,Jumeirah,25.15029,55.19414,villa,3BR_villa,3,1936,179.8,community,unfurnished,False,4,Mashreq Bank,Red,83,9.62,yearly,2,47500,24,264
R003942,2022-01-11,Bluewaters Island,Dubai Marina,25.09318,55.13975,apartment,1BR,1,740,68.8,city,semi_furnished,True,1,UAE Pavilion,Red,70,17.82,yearly,12,34400,46,500
R022516,2025-05-06,Arabian Ranches 3,Arabian Ranches,25.06013,55.28305,villa,4BR_villa,4,3532,328.1,burj_khalifa,semi_furnished,True,2,Noor Bank,Red,123,15.27,yearly,2,234100,66,713
R000151,2025-01-19,Arabian Ranches,Arabian Ranches,25.04689,55.25983,villa,4BR_villa,4,4708,437.4,pool,semi_furnished,True,2,Expo 2020,Red,191,16.78,yearly,6,257700,54,589
R024784,2021-02-26,Emirates Hills,Emirates Hills,25.0432,55.17606,villa,6BR_villa,6,5368,498.7,park,fully_furnished,True,3,Sharaf DG,Red,81,19.78,yearly,1,249700,46,501
R004215,2023-01-24,Dubai Festival City,Festival City,25.23646,55.35809,apartment,1BR,1,556,51.7,community,fully_furnished,False,1,Al Jadaf,Green,23,9.48,yearly,6,16500,29,319
R020665,2024-05-25,Karama,Bur Dubai,25.24454,55.30012,apartment,1BR,1,1016,94.4,marina,fully_furnished,False,1,Oud Metha,Green,16,5.87,yearly,12,22800,22,242
R019667,2022-12-30,Palm Jumeirah,Palm Jumeirah,25.10898,55.13368,apartment,2BR,2,988,91.8,community,fully_furnished,True,2,Discovery Gardens,Red,94,17.23,yearly,4,76100,77,829
R005572,2022-07-21,Motor City,Motor City,25.06078,55.25302,apartment,2BR,2,928,86.2,city,unfurnished,True,3,Noor Bank,Red,110,15.32,yearly,12,12900,13,150
R004635,2021-05-10,Dubai Investment Park,DIP,24.98699,55.19102,apartment,1BR,1,668,62.0,city,fully_furnished,False,1,Energy,Red,121,24.84,yearly,1,5500,8,88
R020173,2024-09-04,Jumeirah Golf Estates,JGE,25.01394,55.16742,villa,5BR_villa,5,5510,511.9,marina,fully_furnished,True,3,Jumeirah Golf Estates,Red,27,23.05,yearly,4,355800,64,695
R015650,2024-09-06,Dubai South,Dubai South,24.90899,55.16298,apartment,2BR,2,1361,126.5,park,semi_furnished,False,1,Expo 2020,Red,64,33.96,yearly,2,18100,13,143
R011875,2026-04-26,Mudon,Dubailand,25.04681,55.25558,villa,5BR_villa,5,4799,445.9,pool,unfurnished,True,3,Sharaf DG,Red,112,16.83,yearly,2,126000,26,283
R004637,2024-04-10,The Meadows,Emirates Living,25.06371,55.16636,villa,3BR_villa,3,3153,293.0,park,unfurnished,True,2,MRT-1,Red,57,18.4,yearly,4,166200,52,567
R008555,2026-02-16,Jumeirah 2,Jumeirah,25.21343,55.25894,apartment,1BR,1,760,70.6,golf_course,unfurnished,True,1,BurJuman,Red,84,2.38,yearly,2,39700,52,563
R017478,2021-01-12,Bulgari Resort,Jumeirah Bay,25.18882,55.25343,apartment,2BR,2,1118,103.9,park,semi_furnished,True,1,Al Ghubaiba,Green,84,2.31,yearly,12,102200,91,984
R018783,2022-10-03,Al Mamzar,Al Mamzar,25.28407,55.335,apartment,2BR,2,919,85.3,park,unfurnished,True,2,Al Qusais,Green,30,11.42,yearly,2,21200,23,248
R012996,2021-04-18,Jumeirah Village Triangle,JVT,25.04653,55.18455,apartment,3BR,3,1659,154.2,community,semi_furnished,False,2,Discovery Gardens,Red,55,19.04,yearly,12,19900,12,129
R008405,2025-09-01,Arabian Ranches 3,Arabian Ranches,25.06288,55.2767,villa,6BR_villa,6,6774,629.3,park,fully_furnished,False,2,Dubai Investment Park,Red,159,14.94,yearly,2,356800,52,567
R016193,2025-03-29,Dubailand,Dubailand,25.03039,55.28896,apartment,2BR,2,1228,114.1,park,semi_furnished,False,2,Jumeirah Golf Estates,Red,165,18.61,yearly,6,21300,17,187
R003383,2022-06-19,Maritime City,Maritime City,25.25713,55.26469,apartment,studio,0,526,48.8,sea,fully_furnished,False,2,Max,Red,65,6.73,yearly,4,16300,31,335
R013165,2022-02-08,Jumeirah Golf Estates,JGE,25.02187,55.17549,villa,3BR_villa,3,2927,272.0,community,fully_furnished,True,3,Jumeirah Golf Estates,Red,27,21.89,yearly,6,90900,31,334
R009727,2023-06-16,Reem Mira,Reem,25.04371,55.27289,villa,4BR_villa,4,3117,289.6,sea,fully_furnished,True,2,Jebel Ali,Red,174,17.07,yearly,4,77300,24,267
R020104,2021-11-21,Bulgari Resort,Jumeirah Bay,25.18703,55.24805,apartment,2BR,2,884,82.1,golf_course,fully_furnished,False,1,Financial Centre,Red,39,2.88,short_term,6,116800,132,1422
R021112,2022-08-21,Dubai Sports City,Dubai Sports City,25.04048,55.18595,apartment,1BR,1,687,63.8,community,unfurnished,False,1,Discovery Gardens,Red,95,19.57,yearly,12,8000,11,126
R006577,2022-09-14,Dubai Investment Park,DIP,24.99838,55.19335,apartment,1BR,1,624,58.0,golf_course,fully_furnished,False,1,Dubai Investment Park,Red,17,23.57,yearly,4,11300,18,194
